id;tema;pergunta;alternativa_a;alternativa_b;alternativa_c;alternativa_d;resposta_correta;explicacao;dificuldade;fonte_pdf
Q018;Tipos de Dados;Qual a diferença entre dados quantitativos e dados qualitativos?;Quantitativos são dados online e qualitativos são dados offline;Quantitativos representam algo mensurável e qualitativos representam características ou categorias;Quantitativos são mais importantes que qualitativos na análise;Quantitativos vêm de pesquisas e qualitativos vêm de sensores;B;Dados quantitativos (numéricos) representam algo mensurável como idade e temperatura. Dados qualitativos (categóricos) representam características como cor do cabelo e nível de senioridade.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q019;Tipos de Dados;O que são dados estruturados?;Dados que só existem em formato de vídeo;Dados formatados e organizados em tabelas com linhas e colunas facilmente processados;Dados coletados exclusivamente de redes sociais;Dados que requerem limpeza antes de serem usados;B;Dados estruturados são formatados e organizados em tabelas (linhas e colunas) sendo facilmente processados. Exemplos: dados de vendas, colaboradores e compras.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q020;Tipos de Dados;Qual é um exemplo de dado NÃO estruturado?;Planilha de vendas mensais;Tabela de funcionários com nome e cargo;Mensagens em redes sociais e e-mails;Registro de estoque com quantidade e preço;C;Dados não estruturados não têm formatação específica e são mais difíceis de processar. Exemplos: mensagens em redes sociais, e-mails, imagens e vídeos.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q021;Fontes de Dados;O que são dados 'first-party'?;Dados comprados de terceiros no mercado;Dados próprios da organização coletados diretamente pelo negócio;Dados compartilhados por parceiros estratégicos;Dados obtidos de órgãos governamentais;B;First-party data são os dados coletados diretamente pela própria organização a partir de suas interações com clientes e sistemas.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q022;LGPD;Por que é importante seguir as regras da LGPD ao coletar dados?;Para aumentar a velocidade de processamento dos dados;Para garantir o uso responsável e a proteção de dados pessoais contra uso indevido por terceiros;Para reduzir o tamanho dos arquivos de dados;Para facilitar a análise com ferramentas de BI;B;A LGPD (Lei Geral de Proteção de Dados) garante que dados pessoais sejam coletados e tratados de forma responsável, protegendo a privacidade dos usuários.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q023;Metodologia KDD;Em qual década foi criada a metodologia KDD?;1960;1970;1980;1990;C;A metodologia KDD (Knowledge Discovery in Databases) foi criada em 1980 e é muito utilizada em Data Mining.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q024;Metodologia KDD;Qual é o foco principal da metodologia KDD?;Questões de negócio e geração de modelos preditivos;Descoberta e construção do conhecimento por meio da identificação de padrões nos dados;Implantação de sistemas de banco de dados;Criação de dashboards para stakeholders;B;O KDD foca na descoberta e construção do conhecimento por meio da identificação de padrões de comportamento dos dados, não em questões de negócio diretamente.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q025;Metodologia KDD;Quais são os dois grupos de atores no processo KDD?;Desenvolvedores de software e analistas de negócio;Especialistas do negócio e especialistas de KDD (cientistas/analistas de dados);Clientes e fornecedores de dados;Gestores e estagiários;B;O KDD possui dois atores: os especialistas do negócio (que buscam insights) e os especialistas de KDD (que manipulam os dados para gerar resultados).;Médio;Aula_01_-_AVD_pptx-1.pdf
Q026;Metodologia KDD;Na etapa de pré-processamento do KDD qual das seguintes NÃO é uma tarefa típica?;Tratamento de dados duplicados;Correção de dados corrompidos;Implantação do modelo em produção;Tratamento de valores ausentes;C;A implantação do modelo em produção pertence à fase de Desenvolvimento/Implantação. O pré-processamento cuida de limpeza, duplicatas, dados ausentes e outliers.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q027;Metodologia KDD;O que é 'normalização' na etapa de transformação de dados do KDD?;Converter dados de texto em imagens;Converter valores de atributos para faixas como -1 a 1 ou 0 a 1;Remover colunas desnecessárias do dataset;Agrupar dados por categorias;B;Normalização é o processo de converter os valores de atributos para faixas padronizadas como -1 a 1 ou 0 a 1, facilitando o processamento pelos algoritmos.;Difícil;Aula_01_-_AVD_pptx-1.pdf
Q028;Metodologia CRISP-DM;Em que ano foi criada a metodologia CRISP-DM?;1980;1986;1996;2001;C;O CRISP-DM (Cross Industry Standard Process for Data Mining) foi criado em 1996.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q029;Metodologia CRISP-DM;Qual é a primeira fase do CRISP-DM?;Preparação dos Dados;Modelagem;Entendimento do Negócio;Avaliação;C;A primeira fase do CRISP-DM é o Entendimento do Negócio onde se define os objetivos e se entende as dores do cliente antes de qualquer manipulação de dados.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q030;Metodologia CRISP-DM;Qual é a principal diferença entre KDD e CRISP-DM?;KDD é mais recente e mais usado no mercado;CRISP-DM fornece uma abordagem mais sistemática e iterativa com ênfase nos aspectos práticos e de negócio;KDD é exclusivo para grandes empresas e CRISP-DM para pequenas;São metodologias completamente diferentes sem nenhuma semelhança;B;O CRISP-DM é mais parecido com o KDD porém oferece uma abordagem mais sistemática e iterativa com maior ênfase nos aspectos práticos e nas questões de negócio.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q031;Pandas;De onde vem o nome 'Pandas' na biblioteca Python?;Do animal panda símbolo de dados fofos;De 'Panel Data' um termo usado em econometria;De 'Python Advanced Data Analysis System';Do sobrenome do seu criador;B;O nome Pandas é derivado de 'Panel Data', um termo usado em econometria para descrever conjuntos de dados multidimensionais.;Fácil;DataFrame_Pandas__AVD_pptx.pdf
Q032;Pandas;O que é um DataFrame no Pandas?;Um gráfico de barras gerado automaticamente;A estrutura de dados central do Pandas que representa dados tabulares em duas dimensões com colunas rotuladas e linhas indexadas;Um tipo de arquivo para exportar dados;Um método para filtrar dados nulos;B;O DataFrame é a estrutura de dados central do Pandas representando dados tabulares em duas dimensões com colunas com rótulos e linhas com índices.;Fácil;DataFrame_Pandas__AVD_pptx.pdf
Q033;Pandas;Qual é a diferença entre Series e DataFrame no Pandas?;Series é uma tabela 2D e DataFrame é uma lista 1D;Series é uma estrutura unidimensional (uma coluna) e DataFrame é bidimensional (tabela com múltiplas colunas);Ambos são exatamente iguais;Series é usado apenas para strings e DataFrame é usado para números;B;A Series é uma estrutura unidimensional (como uma coluna) enquanto o DataFrame é bidimensional funcionando como uma tabela com várias colunas.;Médio;DataFrame_Pandas__AVD_pptx.pdf
Q034;Pandas;Qual método do Pandas é usado para obter um resumo estatístico de uma coluna incluindo média, mínimo, máximo e quartis?;df['coluna'].summary();df['coluna'].info();df['coluna'].describe();df['coluna'].stats();C;O método .describe() retorna um resumo estatístico completo da coluna incluindo contagem, média, desvio padrão, mínimo, quartis e máximo.;Fácil;DataFrame_Pandas__AVD_pptx.pdf
Q035;Pandas;Qual método do Pandas conta quantas vezes cada valor único aparece em uma coluna?;df['coluna'].count();df['coluna'].unique();df['coluna'].value_counts();df['coluna'].nunique();C;O método .value_counts() retorna a frequência de cada valor único na coluna ordenado do mais frequente para o menos frequente.;Fácil;DataFrame_Pandas__AVD_pptx.pdf
Q036;Limpeza de Dados;O que são 'outliers' nos dados?;Valores que estão exatamente na média do conjunto;Pontos de dados que se desviam significativamente dos padrões esperados no conjunto;Dados que foram coletados de fontes externas;Valores ausentes que precisam ser preenchidos;B;Outliers são pontos de dados que se desviam significativamente dos padrões esperados podendo indicar erros ou fenômenos interessantes nos dados.;Fácil;Limpeza_Transformação_e_Agregação_de_Dados_Pandas__AVD.pdf
Q037;Limpeza de Dados;Qual método do Pandas é usado para identificar valores ausentes (NaN) em um DataFrame?;df.missing();df.isnull();df.empty();df.na_check();B;O método df.isnull() retorna um DataFrame booleano indicando quais células contêm valores ausentes (NaN).;Fácil;Limpeza_Transformação_e_Agregação_de_Dados_Pandas__AVD.pdf
Q038;Limpeza de Dados;O que é 'enriquecimento de dados' no contexto do KDD?;Remover linhas com dados incompletos;Agregar mais detalhes aos dados existentes por junção com outras bases ou melhor detalhamento de dados brutos;Converter dados para o formato CSV;Ordenar os dados em ordem crescente;B;Enriquecimento de dados consiste em agregar aos dados existentes mais detalhes para contribuir no processo de descoberta de conhecimento como junção de outras bases.;Médio;Limpeza_Transformação_e_Agregação_de_Dados_Pandas__AVD.pdf
Q039;Estatística Descritiva;O que a mediana representa em um conjunto de dados?;A soma de todos os valores dividida pela quantidade de elementos;O valor que aparece com maior frequência;O valor central quando os dados estão ordenados;A diferença entre o maior e o menor valor;C;A mediana é o valor que ocupa a posição central quando os dados estão ordenados. Para distribuições assimétricas, é mais representativa que a média.;Fácil;Aula13_2_Estatística_Descritiva.pdf
Q040;Estatística Descritiva;Por que a mediana é preferível à média quando há outliers nos dados?;Porque a mediana é sempre maior que a média;Porque a mediana não é afetada por valores extremos ao contrário da média;Porque a mediana é mais fácil de calcular matematicamente;Porque a mediana sempre representa o valor mais comum;B;A mediana considera apenas a posição central dos dados ordenados não sua magnitude absoluta, tornando-a robusta contra outliers.;Fácil;Aula13_2_Estatística_Descritiva.pdf
Q041;Estatística Descritiva;O que o desvio padrão mede em um conjunto de dados?;A diferença entre o maior e o menor valor;O valor central dos dados ordenados;A dispersão dos dados em relação à média;A frequência do valor mais comum;C;O desvio padrão mede a dispersão dos dados em torno da média. Quanto maior o desvio padrão, mais espalhados estão os dados.;Médio;Aula13_2_Estatística_Descritiva.pdf
Q042;Teoria de Gestalt;O que é a Teoria de Gestalt e qual sua relevância para visualização de dados?;Uma teoria matemática para calcular médias em gráficos;Uma teoria psicológica sobre como percebemos elementos visuais como grupos e padrões usada para criar visualizações mais eficazes;Uma metodologia de análise exploratória de dados;Um tipo de gráfico usado em análise de clusters;B;A Teoria de Gestalt explica como o cérebro humano percebe e organiza elementos visuais. Em visualização de dados seus princípios guiam a criação de gráficos mais intuitivos.;Fácil;Aula_3__AVD_Edu_Arruda.pdf
Q043;Teoria de Gestalt;Qual princípio de Gestalt afirma que elementos próximos uns dos outros são percebidos como pertencentes ao mesmo grupo?;Semelhança;Continuidade;Proximidade;Fechamento;C;O princípio da Proximidade diz que elementos que estão próximos são percebidos como um grupo. Em gráficos de dispersão, pontos agrupados são vistos automaticamente como um cluster.;Fácil;Aula_3__AVD_Edu_Arruda.pdf
Q044;Teoria de Gestalt;O princípio do 'Ponto Focal' na Teoria de Gestalt refere-se a:;A posição do título em um gráfico;Elementos que se destacam visualmente (por cor diferente por exemplo) e capturam nossa atenção imediatamente;A área central de um gráfico de pizza;O ponto de intersecção entre eixos X e Y;B;O Ponto Focal refere-se a elementos que se destacam visualmente — por cor, forma ou tamanho diferente — e que capturam nossa atenção imediatamente.;Médio;Aula_3__AVD_Edu_Arruda.pdf
Q045;Boas Práticas de Visualização;Qual é um problema comum em gráficos de linha que pode criar a falsa impressão de grandes variações?;Usar cores muito vivas;O eixo Y não iniciar do zero fazendo pequenas elevações parecerem significativas;Usar muitas linhas no mesmo gráfico;Colocar o título no rodapé;B;Um erro comum é não iniciar o eixo Y do zero o que distorce a percepção visual fazendo pequenas variações parecerem muito maiores do que realmente são.;Fácil;Aula_08__AVD__Boas_práticas_e_erros_comuns_pptx.pdf
Q046;Boas Práticas de Visualização;Por que a área de um gráfico de linhas deve ter largura maior do que a altura?;Para que o gráfico caiba melhor em relatórios;Para evitar que pequenas variações pareçam maiores — quando a altura é maior ou igual à largura, elevações parecem mais dramáticas;Para facilitar a leitura em dispositivos móveis;Para respeitar o padrão internacional de visualização;B;Quando a área do gráfico tem altura maior ou igual à largura, pequenas elevações na linha parecem maiores. A largura deve ser superior à altura para uma leitura mais equilibrada.;Médio;Aula_08__AVD__Boas_práticas_e_erros_comuns_pptx.pdf
Q047;Numpy;O Numpy é uma biblioteca Python amplamente utilizada em análise de dados. Para que ela é principalmente usada?;Criação de interfaces gráficas;Computação numérica com arrays multidimensionais e funções matemáticas eficientes;Conexão com bancos de dados SQL;Geração automática de relatórios em PDF;B;O Numpy é usado para computação numérica oferecendo suporte a arrays multidimensionais e funções matemáticas de alto desempenho para análise de dados.;Fácil;Material_de_Apoio_Aula_05__AVD_pptx.pdf
Q048;Numpy;Qual é o resultado de aplicar .cumsum() ao array [1, 2, 3] no Numpy?;[1, 2, 3];[1, 3, 6];[6, 6, 6];[1, 2, 6];B;O método .cumsum() calcula a soma cumulativa: 1, depois 1+2=3, depois 1+2+3=6. Resultado: [1, 3, 6].;Difícil;Material_de_Apoio_Aula_05__AVD_pptx.pdf
Q049;Governança de Dados;O que é governança de dados em uma organização?;Um sistema de backup automático de arquivos;A criação de um fluxo de dados e educação dos colaboradores para o tratamento correto das informações incluindo políticas e responsabilidades sobre os dados;Um software para limpar dados automaticamente;Um protocolo de segurança de rede;B;Governança de dados envolve criar um fluxo de dados, educar colaboradores e estabelecer políticas e processos em torno dos ativos, propriedade e responsabilidade dos dados.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q050;Princípios DDDMC;Quais são os três elementos essenciais para o sucesso de uma cultura data-driven citados nos slides?;Ferramentas avançadas, cientistas de dados e big data;Democratização dos dados, qualidade/veracidade dos dados e governança de dados;Relatórios mensais, reuniões semanais e KPIs definidos;Infraestrutura de nuvem, machine learning e automação;B;Os três elementos essenciais são: Democratização dos dados (torná-los acessíveis a todos), Qualidade e veracidade dos dados e Governança de dados.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q051;Metodologia Geral;Em qualquer metodologia de análise de dados (KDD ou CRISP-DM) qual etapa tipicamente vem ANTES da análise/modelagem?;Implantação da solução;Avaliação dos resultados;Tratamento e transformação dos dados;Geração do relatório final;C;Em qualquer metodologia, antes da análise ou modelagem, é necessário preparar os dados: limpeza, tratamento de ausentes, outliers e transformações necessárias.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q052;Tipos de Análise;Uma rede de supermercados analisa dados históricos de compras para prever quais produtos terão maior demanda na próxima semana. Que tipo de análise é essa?;Análise Descritiva;Análise Diagnóstica;Análise Preditiva;Análise Prescritiva;C;A previsão de demanda futura com base em dados históricos é característica da Análise Preditiva que responde à pergunta 'O que vai acontecer?'.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q053;Tipos de Análise;Um time de marketing analisa por que a campanha do mês anterior teve resultados abaixo do esperado investigando correlações entre variáveis. Que tipo de análise é essa?;Análise Descritiva;Análise Diagnóstica;Análise Preditiva;Análise Prescritiva;B;Investigar causas de um resultado já ocorrido é característico da Análise Diagnóstica (ou Causal) que responde 'Por que aconteceu?'.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q054;Pandas;Qual método do Pandas é utilizado para visualizar as primeiras linhas de um DataFrame?;df.last();df.show();df.head();df.preview();C;O método df.head() exibe as primeiras linhas do DataFrame (5 por padrão). É muito usado para inspecionar rapidamente os dados após carregá-los.;Fácil;DataFrame_Pandas__AVD_pptx.pdf
Q055;Pandas;Como se lê um arquivo CSV no Pandas?;pd.open_csv('arquivo.csv');pd.read_csv('arquivo.csv');pd.load('arquivo.csv');pd.import_csv('arquivo.csv');B;A função pd.read_csv() é o método padrão do Pandas para carregar arquivos CSV em um DataFrame.;Fácil;DataFrame_Pandas__AVD_pptx.pdf
Q056;Estatística Descritiva;Em um conjunto de dados [2, 4, 4, 4, 5, 5, 7, 9], qual é a moda?;5;4;2;9;B;A moda é o valor que aparece com maior frequência. No conjunto, o número 4 aparece 3 vezes, sendo a moda.;Médio;Aula13_2_Estatística_Descritiva.pdf
Q057;Visualização de Dados;Para comparar a distribuição de uma variável numérica contínua e identificar outliers, qual tipo de gráfico é mais indicado?;Gráfico de pizza;Gráfico de barras;Boxplot (diagrama de caixa);Gráfico de linhas;C;O Boxplot é ideal para visualizar a distribuição de dados numéricos contínuos mostrando mediana, quartis e outliers de forma clara.;Médio;Aula_08__AVD__Boas_práticas_e_erros_comuns_pptx.pdf
Q058;Visualização de Dados;Para mostrar a evolução de uma variável ao longo do tempo, qual tipo de gráfico é o mais adequado?;Gráfico de pizza;Gráfico de linhas;Gráfico de dispersão;Gráfico de barras horizontais;B;O gráfico de linhas é ideal para mostrar tendências e evolução de valores ao longo do tempo conectando pontos de dados cronologicamente.;Fácil;Aula_08__AVD__Boas_práticas_e_erros_comuns_pptx.pdf
Q059;Coleta de Dados;Qual é a diferença entre 'small data' e 'big data'?;Small data vem de empresas pequenas e big data vem de grandes corporações;Small data é de tamanho suficiente para compreensão humana e big data é de alto volume, variedade e velocidade exigindo processamento especializado;Small data é mais importante para tomada de decisão;Small data é estruturado e big data é sempre não estruturado;B;Small data é compreensível pela mente humana geralmente já disponível dentro das empresas. Big data tem alto volume, variedade e velocidade exigindo infraestrutura especializada.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q060;CRISP-DM;Na fase de 'Avaliação' do CRISP-DM o que acontece caso o modelo não atenda aos critérios de negócio?;O projeto é encerrado imediatamente;O modelo é implantado mesmo assim com ressalvas;A equipe revisita a fase de Entendimento do Negócio para redefinir objetivos;O modelo é entregue ao cliente para que ele decida;C;Na fase de Avaliação do CRISP-DM, se o modelo não atender aos objetivos de negócio, a decisão é revisitar a fase de Entendimento do Negócio para alinhar novamente os critérios.;Difícil;Aula_01_-_AVD_pptx-1.pdf
Q061;Visualização de Dados;Qual é o problema de usar muitas cores sem critério em um gráfico?;O arquivo fica maior em megabytes;As cores podem distrair o leitor e dificultar a identificação das informações relevantes;O gráfico demora mais para ser renderizado;Ferramentas como Python não suportam muitas cores;B;Usar muitas cores sem critério vai contra os princípios da boa visualização pois distrai o leitor e dificulta a identificação rápida das informações mais importantes.;Fácil;Aula_08__AVD__Boas_práticas_e_erros_comuns_pptx.pdf
Q062;Tipos de Dados;Qual dos seguintes é um exemplo de dado QUANTITATIVO?;Cor favorita de um cliente;Nível de satisfação (baixo, médio, alto);Temperatura em graus Celsius;Categoria de produto;C;A temperatura em graus Celsius é um dado quantitativo pois representa algo que pode ser medido numericamente. Os demais exemplos são qualitativos/categóricos.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q063;Fontes de Dados;O que são Web Crawlers ou Scrapers?;Ferramentas para limpar dados sujos em planilhas;Programas que aceleram o processo de coleta de dados públicos disponíveis na internet;Algoritmos de machine learning para classificação;Ferramentas de visualização de dados em tempo real;B;Web Crawlers e Scrapers são programas que automatizam e aceleram a coleta de dados públicos disponíveis na internet, muito usados para coletar dados externos.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q064;Pirâmide DIKW;No contexto da pirâmide DIKW o que diferencia 'informação' de 'dados brutos'?;Informação é maior em volume que dados brutos;Informação é obtida quando os dados são processados e contextualizados gerando significado;Informação e dados brutos são sinônimos;Informação requer machine learning para ser gerada;B;Dados brutos são fatos isolados sem contexto. Quando processados e contextualizados, geram informação. A pirâmide DIKW mostra essa progressão do dado até a sabedoria.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q065;Engajamento Organizacional;Uma pesquisa da Wavestone de 2024 mostrou que qual percentual de empresas enfrenta problemas para construir uma cultura data-driven?;25%;37%;57%;78%;C;A pesquisa da Wavestone de 2024 mostrou que 57% das companhias enfrentam problemas para construir uma cultura data-driven mesmo investindo em IA e ferramentas analíticas.;Difícil;Aula_01_-_AVD_pptx-1.pdf
